"part","stat","var","value","se","p_value","first_stage_F","n_obs"
"premise","pr147_cov60_treat","partial_corr",-0.118557389771659,NA,0.0653377878656044,NA,311
"urban_rule","n_files","cuadro14",24,NA,NA,NA,NA
"urban_rule","min_positive","cuadro14",2002,NA,NA,NA,476
"urban_rule","n_below_2000","cuadro14",0,NA,NA,NA,476
"desc","n","published",237,NA,NA,NA,NA
"desc","n","urban",234,NA,NA,NA,NA
"desc","n_negative","published",143,NA,NA,NA,237
"desc","n_negative","urban",27,NA,NA,NA,234
"desc","corr","published_vs_urban",0.741694522797692,NA,NA,NA,234
"contam","corr_with_log_cov60","published",0.304158591921192,NA,NA,NA,234
"contam","corr_with_log_cov60","urban",0.10005025700567,NA,NA,NA,234
"contam","sd","published",0.568846634029286,NA,NA,NA,234
"contam","sd","urban",0.508930898191617,NA,NA,NA,234
"dropped","32090005","urbpop_1960_zero",30609,NA,NA,NA,7327
"dropped","32094001","urbpop_1947_missing",2418,NA,NA,NA,3666
"dropped","32094002","urbpop_1947_missing",2627,NA,NA,NA,3398
"placebo","1_published_pop_237","OLS",0.0274976361107756,0.0190011594991788,0.149232862684613,NA,237
"placebo","1_published_pop_237","IV-LP",0.0512155288181194,0.0574668984787684,0.373755934399113,18.7096294804788,237
"placebo","1_published_pop_237","IV-H",0.333116937725566,0.378110412749962,0.379247270142696,1.72498025953556,237
"placebo","1_published_pop_237","IV-B",0.0838534331984451,0.0484032366355095,0.0845618643581916,11.2449898725554,237
"placebo","2_published_same_sample","OLS",0.0252794916252079,0.0195198781693092,0.196631346065902,NA,234
"placebo","2_published_same_sample","IV-LP",0.055460770749423,0.0584422728376631,0.343651551997545,18.4219097932794,234
"placebo","2_published_same_sample","IV-H",0.417547786856569,0.602197662643579,0.488793635017054,0.949397604144076,234
"placebo","2_published_same_sample","IV-B",0.0829468150308893,0.0510083565966207,0.105325501418254,10.4801826454441,234
"placebo","3_urban_comparable","OLS",0.00390729654195356,0.016455521416697,0.812527893716505,NA,234
"placebo","3_urban_comparable","IV-LP",0.0120441712813166,0.0505472827763036,0.811885368649571,18.4219097932794,234
"placebo","3_urban_comparable","IV-H",0.491062453386411,0.639970271430135,0.443698874688109,0.949397604144076,234
"placebo","3_urban_comparable","IV-B",0.0484064740646317,0.0459036478213649,0.292779410856918,10.4801826454441,234
"placebo","4_difference_test","OLS",0.0213721950832534,0.0134663035869809,0.113903511231819,NA,234
"placebo","4_difference_test","IV-LP",0.0434165994680956,0.035979090029326,0.228813767827404,18.4219097932794,234
"placebo","4_difference_test","IV-H",-0.0735146665299632,0.197745941590132,0.710420583758417,0.949397604144076,234
"placebo","4_difference_test","IV-B",0.0345403409662504,0.0331477219369054,0.298529192972376,10.4801826454441,234
